line_num,tokens,token_ids
11,"<BOS> hen pryjari , se hēdrȳ hen qilōni . pryjari se hēdrȳ henujagon se glēdrī , se hēdrȳ se tepagon jorrāelagon se qilōni . rūjagon issi se hēdrȳ henujagon se qilōni jorrāelagon se glēdrī . <EOS>",2 24 39 7 4 19 24 54 5 39 4 19 9 4 67 7 4 19 4 74 22 4 54 5 91 12 4 19 9 4 54 22 4 67 5 3
12,"<BOS> se hēdrȳ hen qilōni pryjari , se hēdrȳ hen glēdrī ryndāro . ryndāro se hēdrȳ henujagon se glaes , se hēdrȳ se sīr jorrāelagon se qilōni . glēdrī issi se hēdrȳ henujagon se qilōni jorrāelagon se sīr . <EOS>",2 4 19 24 54 39 7 4 19 24 67 68 5 68 4 19 9 4 47 7 4 19 4 77 22 4 54 5 67 12 4 19 9 4 54 22 4 77 5 3
13,"<BOS> morghot issi se hēdrȳ henujagon se zaldrīzir , se hēdrȳ se glaes , se hēdrȳ se qilōni . valyria se pōnta jaelagon drējagon , se hēdrȳ se kirimvose . henujagon hen mirre , se hēdrȳ hen āeksia . <EOS>",2 84 12 4 19 9 4 30 7 4 19 4 47 7 4 19 4 54 5 107 4 53 45 62 7 4 19 4 49 5 9 24 192 7 4 19 24 292 5 3
14,"<BOS> ȳdragon issi se hēdrȳ henujagon pryjari , se ryndāro , se valyria . kesan issi hen henujagon se zaldrīzir , se henujagon glēdrī , se henujagon qilōni . henujagon pōnta jaelagon drējagon , se ēlī henujagon kirimvose , se se hēdrȳ henujagon dōre . <EOS>",2 108 12 4 19 9 39 7 4 68 7 4 107 5 140 12 24 9 4 30 7 4 9 67 7 4 9 54 5 9 53 45 62 7 4 16 9 49 7 4 4 19 9 71 5 3
15,"<BOS> jinēbagon hen essos , henujagon hen iderēbza issi . hen mēre ossēnagon jorrāelagon henujagon dāria issi se jōfari issi . dāria se belma jorrāelagon se hēdrȳ henujagon qilōni , se jōfari se hēdrȳ henujagon glēdrī . <EOS>",2 244 24 223 7 9 24 35 12 5 24 80 96 22 9 97 12 4 122 12 5 97 4 69 22 4 19 9 54 7 4 122 4 19 9 67 5 3
16,"<BOS> skoros issi se hēdrȳ henujagon glēdrī , jōfari ? <EOS>",2 13 12 4 19 9 67 7 122 59 3
17,"<BOS> skoros issi , dāria . henujagon se glēdrī issi henujagon se zaldrīzir . <EOS>",2 13 12 7 97 5 9 4 67 12 9 4 30 5 3
18,<BOS> toli jēdar issi se hēdrȳ henujagon se zaldrīzir ? <EOS>,2 202 83 12 4 19 9 4 30 59 3
19,"<BOS> toli jēdar issi , se hēdrȳ se zaldrīzir jorrāelagon iderēbza issi . skoros issi se henujagon glaes , se henujagon kirimvose . <EOS>",2 202 83 12 7 4 19 4 30 22 35 12 5 13 12 4 9 47 7 4 9 49 5 3
20,"<BOS> iderēbza issi se hēdrȳ henujagon glaes , se henujagon kirimvose . hen rūjagon issi se hēdrȳ henujagon se glēdrī ? <EOS>",2 35 12 4 19 9 47 7 4 9 49 5 24 91 12 4 19 9 4 67 59 3
21,"<BOS> rūjagon issi , dāria . henujagon se glēdrī jorrāelagon iderēbza issi . henujagon se rūjagon se hēdrȳ henujagon se zaldrīzir . <EOS>",2 91 12 7 97 5 9 4 67 22 35 12 5 9 4 91 4 19 9 4 30 5 3
22,<BOS> iderēbza issi se hēdrȳ henujagon se zaldrīzir . jēdar issi skoros se hēdrȳ henujagon se qilōni ? <EOS>,2 35 12 4 19 9 4 30 5 83 12 13 4 19 9 4 54 59 3
23,"<BOS> jēdar issi , dāria . henujagon se qilōni jorrāelagon iderēbza issi . skoros issi se hēdrȳ henujagon se tepagon . <EOS>",2 83 12 7 97 5 9 4 54 22 35 12 5 13 12 4 19 9 4 74 5 3
24,"<BOS> iderēbza issi se hēdrȳ henujagon se tepagon . hen belma issi henujagon se pyghor , jōfari ? <EOS>",2 35 12 4 19 9 4 74 5 24 69 12 9 4 87 7 122 59 3
25,"<BOS> belma issi , dāria . henujagon se pyghor jorrāelagon iderēbza issi . skoros issi se henujagon sīr . <EOS>",2 69 12 7 97 5 9 4 87 22 35 12 5 13 12 4 9 77 5 3
26,"<BOS> iderēbza issi se hēdrȳ henujagon sīr . jēdar issi morghot henujagon se glaes , se henujagon se kirimvose ? <EOS>",2 35 12 4 19 9 77 5 83 12 84 9 4 47 7 4 9 4 49 59 3
27,"<BOS> morghot issi , dāria . henujagon se glaes jorrāelagon iderēbza issi , se henujagon se kirimvose jorrāelagon iderēbza issi . skoros issi se henujagon dōre . <EOS>",2 84 12 7 97 5 9 4 47 22 35 12 7 4 9 4 49 22 35 12 5 13 12 4 9 71 5 3
28,"<BOS> iderēbza issi se hēdrȳ henujagon dōre . skoros issi , jōfari . morghūljagon jorrāelagon se zaldrīzir . <EOS>",2 35 12 4 19 9 71 5 13 12 7 122 5 81 22 4 30 5 3
29,"<BOS> morghūljagon issi , dāria . skoros issi se henujagon glēdrī , se henujagon qilōni . <EOS>",2 81 12 7 97 5 13 12 4 9 67 7 4 9 54 5 3
30,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . dāria se jōfari se hēdrȳ henujagon pyghor , se henujagon glēdrī , se henujagon qilōni . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon kirimvose . <EOS>",2 9 24 80 7 9 4 35 12 5 97 4 122 4 19 9 87 7 4 9 67 7 4 9 54 5 9 53 45 62 7 4 19 9 49 5 3
31,"<BOS> ziry issi hen āegon , henujagon hen valyria issi . āegon se belma jorrāelagon se hēdrȳ henujagon glaes , se henujagon se zaldrīzir . hen rūjagon se hēdrȳ henujagon se glaes , se henujagon se zaldrīzir . <EOS>",2 32 12 24 103 7 9 24 107 12 5 103 4 69 22 4 19 9 47 7 4 9 4 30 5 24 91 4 19 9 4 47 7 4 9 4 30 5 3
32,"<BOS> skoros issi se hēdrȳ henujagon se zaldrīzir , belma ? <EOS>",2 13 12 4 19 9 4 30 7 69 59 3
33,"<BOS> skoros issi , āegon . henujagon se zaldrīzir jorrāelagon iderēbza issi . skoros issi se henujagon glaes , se henujagon kirimvose . <EOS>",2 13 12 7 103 5 9 4 30 22 35 12 5 13 12 4 9 47 7 4 9 49 5 3
34,"<BOS> iderēbza issi se hēdrȳ henujagon glaes , se henujagon kirimvose . hen rūjagon issi se hēdrȳ henujagon se glaes ? <EOS>",2 35 12 4 19 9 47 7 4 9 49 5 24 91 12 4 19 9 4 47 59 3
35,"<BOS> rūjagon issi , āegon . henujagon se glaes jorrāelagon iderēbza issi . skoros issi se henujagon qilōni . <EOS>",2 91 12 7 103 5 9 4 47 22 35 12 5 13 12 4 9 54 5 3
36,<BOS> iderēbza issi se hēdrȳ henujagon se qilōni . jēdar issi skoros se hēdrȳ henujagon se tepagon ? <EOS>,2 35 12 4 19 9 4 54 5 83 12 13 4 19 9 4 74 59 3
37,"<BOS> jēdar issi , āegon . henujagon se tepagon jorrāelagon iderēbza issi . skoros issi se henujagon sīr . <EOS>",2 83 12 7 103 5 9 4 74 22 35 12 5 13 12 4 9 77 5 3
38,"<BOS> iderēbza issi se hēdrȳ henujagon sīr . morghot issi henujagon se zaldrīzir , belma ? <EOS>",2 35 12 4 19 9 77 5 84 12 9 4 30 7 69 59 3
39,"<BOS> morghot issi , āegon . henujagon se zaldrīzir jorrāelagon iderēbza issi . skoros issi se henujagon glēdrī . <EOS>",2 84 12 7 103 5 9 4 30 22 35 12 5 13 12 4 9 67 5 3
40,"<BOS> iderēbza issi se hēdrȳ henujagon glēdrī . jēdar issi morghot henujagon se glaes , se henujagon se kirimvose ? <EOS>",2 35 12 4 19 9 67 5 83 12 84 9 4 47 7 4 9 4 49 59 3
41,"<BOS> jēdar issi , āegon . henujagon se glaes jorrāelagon iderēbza issi , se henujagon se kirimvose jorrāelagon iderēbza issi . skoros issi se henujagon dōre . <EOS>",2 83 12 7 103 5 9 4 47 22 35 12 7 4 9 4 49 22 35 12 5 13 12 4 9 71 5 3
42,"<BOS> iderēbza issi se hēdrȳ henujagon dōre . skoros issi , belma . morghūljagon jorrāelagon se zaldrīzir . <EOS>",2 35 12 4 19 9 71 5 13 12 7 69 5 81 22 4 30 5 3
43,"<BOS> morghūljagon issi , āegon . skoros issi se henujagon glaes , se henujagon qilōni . <EOS>",2 81 12 7 103 5 13 12 4 9 47 7 4 9 54 5 3
44,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . āegon se valyria se hēdrȳ henujagon glaes , se henujagon se zaldrīzir , se henujagon se qilōni . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon kirimvose . <EOS>",2 9 24 80 7 9 4 35 12 5 103 4 107 4 19 9 47 7 4 9 4 30 7 4 9 4 54 5 9 53 45 62 7 4 19 9 49 5 3
45,"<BOS> skoros issi . āeksio , ēza issi hen targaryen . aōt teptas . hen henujagon hen pryjari , issi se hēdrȳ henujagon se daenarī , arlūni issi se hēdrȳ henujagon se ryndāro . pryjari se ābrar issi se lēkia īlōnagon iā pōnta tolī . daenarī se ondor issi se glaesagon jemēle iderēbza issa . ryndāro se belma issi se hūnagon jorrāelagon se tolī henujagon daor . <EOS>",2 13 12 5 61 7 150 12 24 65 5 154 201 5 24 9 24 39 7 12 4 19 9 4 70 7 114 12 4 19 9 4 68 5 39 4 88 12 4 111 133 163 53 145 5 70 4 105 12 4 158 21 35 10 5 68 4 69 12 4 184 22 4 145 9 155 5 3
46,"<BOS> henujagon jaelagon , pryjari se qilōni se ossēnagon jorrāelagon henujagon tolvī . daenarī se dōre issi se gūrēbzi jemēle iderēbza issa , se hēdrȳ se dōre jorrāelagon se ossēnagon pōnta . ryndāro se hae issi se gūrēbzi jorrāelagon se ossēnagon jemēle henujagon qilōni . <EOS>",2 9 45 7 39 4 54 4 96 22 9 171 5 70 4 71 12 4 100 21 35 10 7 4 19 4 71 22 4 96 53 5 68 4 138 12 4 100 22 4 96 21 9 54 5 3
47,"<BOS> onogār jaelagon , pryjari se henujagon se glēdrī issi se hēdrȳ henujagon se glȳrzi . daenarī se rijā issi se zūgagon jorrāelagon se glēdrī henujagon pōnta . ryndāro se ondor issi se glēdrī jorrāelagon se zūgagon henujagon glaes . <EOS>",2 168 45 7 39 4 9 4 67 12 4 19 9 4 159 5 70 4 170 12 4 60 22 4 67 9 53 5 68 4 105 12 4 67 22 4 60 9 47 5 3
48,"<BOS> henujagon se jaelagon , hēdrȳ pryjari se tepagon issi se hēdrȳ henujagon se zaldrīzi . daenarī se pār issi se se hēdrȳ henujagon se tepagon pōnta . ryndāro se sīr issi se henujagon se tepagon jorrāelagon se pōnta . <EOS>",2 9 4 45 7 19 39 4 74 12 4 19 9 4 79 5 70 4 142 12 4 4 19 9 4 74 53 5 68 4 77 12 4 9 4 74 22 4 53 5 3
49,"<BOS> ānogar jaelagon , henujagon pryjari se dārī issi se hēdrȳ henujagon se vējose . daenarī se rūjagon issi se hēdrȳ henujagon se dārī pōnta . ryndāro se qilōni issi se henujagon se dārī jorrāelagon se pōnta . <EOS>",2 147 45 7 9 39 4 98 12 4 19 9 4 44 5 70 4 91 12 4 19 9 4 98 53 5 68 4 54 12 4 9 4 98 22 4 53 5 3
50,<BOS> sīr issi belma jaelagon henujagon pryjari se ābrar issi se hēdrȳ henujagon se zaldrīzi . daenarī se se hēdrȳ henujagon se zaldrīzi pōnta . ryndāro se henujagon se zaldrīzi jorrāelagon se pōnta . <EOS>,2 77 12 69 45 9 39 4 88 12 4 19 9 4 79 5 70 4 4 19 9 4 79 53 5 68 4 9 4 79 22 4 53 5 3
51,"<BOS> ȳdragon issi se belma jaelagon , pryjari se henujagon se tepagon issi se hēdrȳ henujagon se vējose . daenarī se hēdrȳ henujagon se vējose pōnta . ryndāro se henujagon se vējose jorrāelagon se pōnta . <EOS>",2 108 12 4 69 45 7 39 4 9 4 74 12 4 19 9 4 44 5 70 4 19 9 4 44 53 5 68 4 9 4 44 22 4 53 5 3
52,"<BOS> morghot īlōnagon se hen pryjari , se daenarī , se ryndāro . kesan issi belma henujagon ȳdragon se zaldrīzi , se henujagon gūrēbzi , se henujagon glēdrī . henujagon pōnta jaelagon drējagon , se ēlī henujagon āeksi , se se hēdrȳ henujagon kirimvose . <EOS>",2 84 133 4 24 39 7 4 70 7 4 68 5 140 12 69 9 108 4 79 7 4 9 100 7 4 9 67 5 9 53 45 62 7 4 16 9 146 7 4 4 19 9 49 5 3
53,"<BOS> ziry issi hen eldoria , aōhaeot se hēdrȳ iderēbza issi . āeksio issi hen hero hen morghūlagon jorrāelagon hen skoros jēdar . alaric issi hen ondor jorrāelagon se hēdrȳ henujagon jemēle zaldrīzi . hen qogror issi hen iderēbza jorrāelagon se hēdrȳ henujagon qilōni jemēle hae . <EOS>",2 32 12 24 221 7 179 4 19 35 12 5 61 12 24 232 24 260 22 24 13 83 5 134 12 24 105 22 4 19 9 21 79 5 24 112 12 24 35 22 4 19 9 54 21 138 5 3
54,"<BOS> pryjari jorrāelagon , alaric se henujagon se vējose issi . ziry issi hen jēdar ēza ? arlūni se hēdrȳ jaelagon . <EOS>",2 39 22 7 134 4 9 4 44 12 5 32 12 24 83 150 59 114 4 19 45 5 3
55,"<BOS> iderēbza issi , pryjari . skoros issi hen henujagon qilōni jorrāelagon se vējose . <EOS>",2 35 12 7 39 5 13 12 24 9 54 22 4 44 5 3
56,"<BOS> skoros issi , alaric . henujagon se vējose issi hen henujagon se zaldrīzir ? <EOS>",2 13 12 7 134 5 9 4 44 12 24 9 4 30 59 3
57,"<BOS> henujagon se vējose issi , arlūni . henujagon se zaldrīzir jorrāelagon iderēbza issi . <EOS>",2 9 4 44 12 7 114 5 9 4 30 22 35 12 5 3
58,<BOS> ziry issi hen henujagon se zaldrīzir . henujagon se glaes jorrāelagon se vējose ? <EOS>,2 32 12 24 9 4 30 5 9 4 47 22 4 44 59 3
59,"<BOS> henujagon se glaes issi , pryjari . henujagon se vējose jorrāelagon iderēbza issi . <EOS>",2 9 4 47 12 7 39 5 9 4 44 22 35 12 5 3
60,<BOS> ziry issi hen henujagon se vējose . hen qogror issi hen iderēbza se hēdrȳ henujagon glaes ? <EOS>,2 32 12 24 9 4 44 5 24 112 12 24 35 4 19 9 47 59 3
61,"<BOS> hen qogror issi , arlūni . henujagon se glaes jorrāelagon iderēbza issi . <EOS>",2 24 112 12 7 114 5 9 4 47 22 35 12 5 3
62,<BOS> ziry issi hen henujagon se glaes . morghot issi hen henujagon se zaldrīzir ? <EOS>,2 32 12 24 9 4 47 5 84 12 24 9 4 30 59 3
63,"<BOS> morghot issi , pryjari . henujagon se zaldrīzir jorrāelagon iderēbza issi . <EOS>",2 84 12 7 39 5 9 4 30 22 35 12 5 3
64,"<BOS> ziry issi hen henujagon se zaldrīzir . skoros issi , alaric . morghūljagon jorrāelagon hen skoros . <EOS>",2 32 12 24 9 4 30 5 13 12 7 134 5 81 22 24 13 5 3
65,"<BOS> morghūljagon issi , arlūni . skoros issi se henujagon qilōni , se henujagon glaes . <EOS>",2 81 12 7 114 5 13 12 4 9 54 7 4 9 47 5 3
66,"<BOS> ælīrys issi hen valyria , hen skoros se hēdrȳ se ābrar . hen lēkia issi hen pyghor jorrāelagon se zaldrīzi , se hēdrȳ se glaes . hen vējose issi se hēdrȳ se qilōni , se hēdrȳ se kirimvose . <EOS>",2 75 12 24 107 7 24 13 4 19 4 88 5 24 111 12 24 87 22 4 79 7 4 19 4 47 5 24 44 12 4 19 4 54 7 4 19 4 49 5 3
67,"<BOS> ælīrys se henujagon se ābrar , āeksio jorrāelagon hen pryvella . pryvella se hēdrȳ henujagon se vējose , se hēdrȳ se zaldrīzir . ælīrys jorrāelagon se zaldrīzir , se hēdrȳ se glaes . hen qogror issi hen iderēbza jorrāelagon se hēdrȳ henujagon pyghor . <EOS>",2 75 4 9 4 88 7 61 22 24 73 5 73 4 19 9 4 44 7 4 19 4 30 5 75 22 4 30 7 4 19 4 47 5 24 112 12 24 35 22 4 19 9 87 5 3
68,"<BOS> pryvella , skoros issi se hēdrȳ henujagon zaldrīzir ? <EOS>",2 73 7 13 12 4 19 9 30 59 3
69,"<BOS> skoros issi , ælīrys . henujagon se zaldrīzir jorrāelagon iderēbza issi . skoros issi se henujagon glaes , se henujagon kirimvose . <EOS>",2 13 12 7 75 5 9 4 30 22 35 12 5 13 12 4 9 47 7 4 9 49 5 3
70,"<BOS> iderēbza issi se hēdrȳ henujagon glaes , se henujagon kirimvose . hen qogror issi hen iderēbza jorrāelagon se hēdrȳ henujagon pyghor ? <EOS>",2 35 12 4 19 9 47 7 4 9 49 5 24 112 12 24 35 22 4 19 9 87 59 3
71,"<BOS> hen qogror issi , ælīrys . henujagon se pyghor jorrāelagon iderēbza issi . skoros issi se henujagon vējose . <EOS>",2 24 112 12 7 75 5 9 4 87 22 35 12 5 13 12 4 9 44 5 3
72,"<BOS> iderēbza issi se hēdrȳ henujagon vējose . pryvella , skoros issi se hēdrȳ henujagon glaes , se henujagon zaldrīzir ? <EOS>",2 35 12 4 19 9 44 5 73 7 13 12 4 19 9 47 7 4 9 30 59 3
73,"<BOS> skoros issi , ælīrys . henujagon se glaes jorrāelagon iderēbza issi , se henujagon se zaldrīzir jorrāelagon iderēbza issi . <EOS>",2 13 12 7 75 5 9 4 47 22 35 12 7 4 9 4 30 22 35 12 5 3
74,"<BOS> iderēbza issi se hēdrȳ henujagon glaes , se henujagon zaldrīzir . pryvella , skoros issi se hēdrȳ henujagon kirimvose ? <EOS>",2 35 12 4 19 9 47 7 4 9 30 5 73 7 13 12 4 19 9 49 59 3
75,"<BOS> skoros issi , ælīrys . henujagon se kirimvose jorrāelagon iderēbza issi . skoros issi se henujagon qilōni . <EOS>",2 13 12 7 75 5 9 4 49 22 35 12 5 13 12 4 9 54 5 3
76,"<BOS> iderēbza issi se hēdrȳ henujagon qilōni . pryvella , skoros issi se hēdrȳ henujagon dōre ? <EOS>",2 35 12 4 19 9 54 5 73 7 13 12 4 19 9 71 59 3
77,"<BOS> skoros issi , ælīrys . henujagon se dōre jorrāelagon iderēbza issi . skoros issi , æeksio . <EOS>",2 13 12 7 75 5 9 4 71 22 35 12 5 13 12 7 174 5 3
78,"<BOS> iderēbza issi , pryvella . skoros issi se hēdrȳ henujagon dōre . morghūljagon jorrāelagon hen skoros . <EOS>",2 35 12 7 73 5 13 12 4 19 9 71 5 81 22 24 13 5 3
79,"<BOS> morghūljagon issi , ælīrys . skoros issi se henujagon glaes , se henujagon zaldrīzir . <EOS>",2 81 12 7 75 5 13 12 4 9 47 7 4 9 30 5 3
80,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . ælīrys se pryvella se hēdrȳ henujagon glaes , se henujagon zaldrīzir , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . <EOS>",2 9 24 80 7 9 4 35 12 5 75 4 73 4 19 9 47 7 4 9 30 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 3
81,<BOS> avytilzȳn belma se zaldrīzir jōragor āeksion <EOS>,2 211 69 4 30 189 293 3
82,"<BOS> se mērī se valyria , se hēdrȳ hen mērī se jaelagon issi se zaldrīzir jōragor . skoros issi se henujagon vējose jorrāelagon se hēdrȳ hen se zaldrīzir , issi se hēdrȳ se glaes jorrāelagon iderēbza issi . pryjari jorrāelagon hen ondor jorrāelagon se hēdrȳ henujagon qilōni , se hēdrȳ se zaldrīzir . <EOS>",2 4 78 4 107 7 4 19 24 78 4 45 12 4 30 189 5 13 12 4 9 44 22 4 19 24 4 30 7 12 4 19 4 47 22 35 12 5 39 22 24 105 22 4 19 9 54 7 4 19 4 30 5 3
83,"<BOS> ælīrys se henujagon se ābrar jorrāelagon hen pryvella . pryvella se hēdrȳ henujagon se vējose , se hēdrȳ se zaldrīzir . ælīrys jorrāelagon se zaldrīzir , se hēdrȳ se glaes . hen qogror issi hen iderēbza jorrāelagon se hēdrȳ henujagon pyghor . <EOS>",2 75 4 9 4 88 22 24 73 5 73 4 19 9 4 44 7 4 19 4 30 5 75 22 4 30 7 4 19 4 47 5 24 112 12 24 35 22 4 19 9 87 5 3
84,"<BOS> henujagon jaelagon , pryjari se qilōni se ossēnagon jorrāelagon henujagon tolvī . daenarī se dōre issi se gūrēbzi jemēle iderēbza issa , se hēdrȳ se dōre jorrāelagon se ossēnagon pōnta . ryndāro se hae issi se gūrēbzi jorrāelagon se ossēnagon jemēle henujagon qilōni . <EOS>",2 9 45 7 39 4 54 4 96 22 9 171 5 70 4 71 12 4 100 21 35 10 7 4 19 4 71 22 4 96 53 5 68 4 138 12 4 100 22 4 96 21 9 54 5 3
85,"<BOS> onogār jaelagon , pryjari se henujagon se glēdrī issi se hēdrȳ henujagon se glȳrzi . daenarī se rijā issi se zūgagon jorrāelagon se glēdrī henujagon pōnta . ryndāro se ondor issi se glēdrī jorrāelagon se zūgagon henujagon glaes . <EOS>",2 168 45 7 39 4 9 4 67 12 4 19 9 4 159 5 70 4 170 12 4 60 22 4 67 9 53 5 68 4 105 12 4 67 22 4 60 9 47 5 3
86,"<BOS> henujagon se jaelagon , hēdrȳ pryjari se tepagon issi se hēdrȳ henujagon se zaldrīzi . daenarī se pār issi se se hēdrȳ henujagon se tepagon pōnta . ryndāro se sīr issi se henujagon se tepagon jorrāelagon se pōnta . <EOS>",2 9 4 45 7 19 39 4 74 12 4 19 9 4 79 5 70 4 142 12 4 4 19 9 4 74 53 5 68 4 77 12 4 9 4 74 22 4 53 5 3
87,"<BOS> ānogar jaelagon , henujagon pryjari se dārī issi se hēdrȳ henujagon se vējose . daenarī se rūjagon issi se hēdrȳ henujagon se dārī pōnta . ryndāro se qilōni issi se henujagon se dārī jorrāelagon se pōnta . <EOS>",2 147 45 7 9 39 4 98 12 4 19 9 4 44 5 70 4 91 12 4 19 9 4 98 53 5 68 4 54 12 4 9 4 98 22 4 53 5 3
88,<BOS> sīr issi belma jaelagon henujagon pryjari se ābrar issi se hēdrȳ henujagon se zaldrīzi . daenarī se se hēdrȳ henujagon se zaldrīzi pōnta . ryndāro se henujagon se zaldrīzi jorrāelagon se pōnta . <EOS>,2 77 12 69 45 9 39 4 88 12 4 19 9 4 79 5 70 4 4 19 9 4 79 53 5 68 4 9 4 79 22 4 53 5 3
89,"<BOS> ȳdragon issi se belma jaelagon , pryjari se henujagon se tepagon issi se hēdrȳ henujagon se vējose . daenarī se hēdrȳ henujagon se vējose pōnta . ryndāro se henujagon se vējose jorrāelagon se pōnta . <EOS>",2 108 12 4 69 45 7 39 4 9 4 74 12 4 19 9 4 44 5 70 4 19 9 4 44 53 5 68 4 9 4 44 22 4 53 5 3
90,"<BOS> morghot īlōnagon se hen pryjari , se daenarī , se ryndāro . kesan issi belma henujagon ȳdragon se zaldrīzi , se henujagon gūrēbzi , se henujagon glēdrī . henujagon pōnta jaelagon drējagon , se ēlī henujagon āeksi , se se hēdrȳ henujagon kirimvose . <EOS>",2 84 133 4 24 39 7 4 70 7 4 68 5 140 12 69 9 108 4 79 7 4 9 100 7 4 9 67 5 9 53 45 62 7 4 16 9 146 7 4 4 19 9 49 5 3
